unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad
0,CA1_pyr,CA1,oriens,1,0.0,39.663841938606495,84.14119910788814,0.9039312087064584
1,CA1_pyr,CA1,oriens,8,140.0,45.47313590618649,28.17909774278215,0.3429663317734204
2,CA1_pyr,CA1,oriens,7,120.0,76.21049375940656,60.53315192976519,1.6216130964676045
3,CA1_pyr,CA1,oriens,5,80.0,87.65584195159227,81.44968970577581,1.749135098575132
4,CA1_pyr,CA1,oriens,5,80.0,47.33768029816274,13.504301262978302,-2.172163183978775
5,CA1_pyr,CA1,oriens,9,160.0,69.58097247262538,87.4007785947368,-1.09437155062963
6,CA1_pyr,CA1,oriens,1,0.0,47.564464902064636,25.157708726742854,-2.3252717601793034
7,CA1_pyr,CA1,oriens,7,120.0,28.15274792407073,63.585119574600824,-0.3948861399258021
8,CA1_pyr,CA1,oriens,3,40.0,66.02120816017992,34.98933131056329,2.0876499022927346
9,CA1_pyr,CA1,oriens,1,0.0,40.99827032241396,33.066248314419525,1.1466530692019
10,CA1_pyr,CA1,oriens,6,100.0,25.992656198008667,10.588981580080441,1.802799032993085
11,CA1_pyr,CA1,oriens,10,180.0,66.41323029010681,72.45832248175743,-0.2581397954943707
12,CA1_pyr,CA1,oriens,8,140.0,21.183759850212596,19.162405882877877,1.0581070152074163
13,CA1_pyr,CA1,oriens,8,140.0,55.218888518495106,71.19990859328205,0.8464601688356299
14,CA1_pyr,CA1,oriens,8,140.0,54.736572859633085,34.316007845008976,-2.947958488233425
15,CA1_pyr,CA1,oriens,8,140.0,27.166773825562338,42.682291497970894,2.2204969974706525
16,CA1_pyr,CA1,oriens,6,100.0,14.664219335125281,32.510711361759725,-1.296888668510524
17,CA1_pyr,CA1,oriens,2,20.0,54.562572187302266,72.71185672851308,1.0324124223557014
18,CA1_pyr,CA1,oriens,9,160.0,75.12163077328277,23.357833592616313,-2.998888489379533
19,CA1_pyr,CA1,oriens,5,80.0,67.78874804771603,46.95017842011099,-2.1282921811031534
20,CA1_pyr,CA1,pyramidal,20,380.0,23.647437482950888,84.00960947014377,0.5093221619487536
