unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad
0,CA1_pyr,CA1,oriens,9,160.0,54.98125302243424,22.00498106442689,-0.423293225371669
1,CA1_pyr,CA1,oriens,3,40.0,43.82277386161022,60.65475194192931,2.9369867087557644
2,CA1_pyr,CA1,oriens,2,20.0,41.32998664640209,24.980205577607848,-0.9678576828074092
3,CA1_pyr,CA1,oriens,3,40.0,81.29675276004633,72.04511539781515,-1.142618607074141
4,CA1_pyr,CA1,oriens,5,80.0,47.6727908332606,65.50070737617841,-2.4679892682919387
5,CA1_pyr,CA1,oriens,9,160.0,26.152595802356025,80.75597389506348,1.1297887328624237
6,CA1_pyr,CA1,oriens,5,80.0,61.554901536441406,42.52339181404292,0.10416386574575043
7,CA1_pyr,CA1,oriens,1,0.0,78.96943879261025,45.05489329273,2.464517295828916
8,CA1_pyr,CA1,oriens,4,60.0,76.34849006452652,49.84448439337983,1.2096270972797516
9,CA1_pyr,CA1,oriens,7,120.0,51.82628031390111,27.297871281521154,-2.508853261007239
10,CA1_pyr,CA1,oriens,9,160.0,66.15595811087915,46.514449670524485,2.499037349179445
11,CA1_pyr,CA1,oriens,8,140.0,40.80761075846532,87.89430157641783,0.5784426753569849
12,CA1_pyr,CA1,oriens,10,180.0,42.575548678368555,25.693592957461753,-2.0622858363164442
13,CA1_pyr,CA1,oriens,2,20.0,58.30444138099509,19.01062840890546,-3.0164897290395634
14,CA1_pyr,CA1,oriens,9,160.0,17.952889434611265,46.04676284414097,-0.07226559661040355
15,CA1_pyr,CA1,oriens,1,0.0,50.32115859212773,84.98745149831745,1.5732882026711401
16,CA1_pyr,CA1,oriens,6,100.0,59.38177093642266,50.52411932855841,2.920184568863836
17,CA1_pyr,CA1,oriens,3,40.0,65.12217097188547,54.407734311829216,-2.8776247977850966
18,CA1_pyr,CA1,oriens,3,40.0,84.17335483212729,72.76518859439999,-3.0609725152446106
19,CA1_pyr,CA1,oriens,7,120.0,10.784427923725106,76.19735543824623,-2.448132619204702
20,CA1_pyr,CA1,pyramidal,16,300.0,87.95854698547282,58.41273323408287,2.9386330930153495
21,CA1_pyr,CA1,pyramidal,20,380.0,80.61541222741603,54.75017500359012,1.3423336203603995
22,CA1_pyr,CA1,pyramidal,14,260.0,53.895310079279454,33.14223392975354,-2.478839271146604
23,CA1_pyr,CA1,pyramidal,15,280.0,82.54720158916831,63.67234520286619,-1.8534031215302789
24,CA1_pyr,CA1,pyramidal,13,240.0,47.24754492173987,75.46298026155787,-2.402529193835589
25,CA1_pyr,CA1,pyramidal,14,260.0,85.51286131416695,29.572807655410678,0.8845585111399528
26,CA1_pyr,CA1,pyramidal,13,240.0,65.78586756044672,16.953288011820273,-0.1887099402010497
27,CA1_pyr,CA1,pyramidal,11,200.0,60.11805887397462,65.42363793372505,2.459121692343694
28,CA1_pyr,CA1,pyramidal,18,340.0,22.25554538665491,41.24855497703806,0.4324600062806532
29,CA1_pyr,CA1,pyramidal,14,260.0,66.84044684931347,69.07540405357034,2.970168846956133
30,CA1_pyr,CA1,pyramidal,20,380.0,30.756930042070234,43.80326700551217,-1.285414003523242
31,CA1_pyr,CA1,pyramidal,14,260.0,86.13711366556286,22.28091940288195,0.11276861322347909
32,CA1_pyr,CA1,pyramidal,18,340.0,49.454213326490574,83.09950727152139,1.4884739462014362
33,CA1_pyr,CA1,pyramidal,16,300.0,18.941199049528574,25.66108027973676,-2.728760828657566
34,CA1_pyr,CA1,pyramidal,17,320.0,87.02549294446531,11.119281682274682,1.8174342452220413
35,CA1_pyr,CA1,pyramidal,11,200.0,82.65494355083017,31.630837860752052,1.3494848425321875
36,CA1_pyr,CA1,pyramidal,19,360.0,16.082656003581334,69.61632501626192,-2.87636073189768
37,CA1_pyr,CA1,pyramidal,12,220.0,32.67699717618924,48.99387160676621,2.4600753596781484
38,CA1_pyr,CA1,pyramidal,20,380.0,47.46595054853722,38.403955763219564,-1.9453942623964822
39,CA1_pyr,CA1,pyramidal,13,240.0,24.53042616091402,73.9205993326856,0.7214456516225196
40,CA1_pyr,CA1,pyramidal,18,340.0,87.84839962112129,37.62214755749946,1.0760373374017531
41,CA1_pyr,CA1,pyramidal,15,280.0,31.218111214131177,10.941104127024817,2.4668783074267626
42,CA1_pyr,CA1,pyramidal,18,340.0,23.618246673439288,22.288416889908234,-0.4230630808477267
43,CA1_pyr,CA1,pyramidal,14,260.0,89.11861018859808,87.07968938847524,3.0652697960143502
44,CA1_pyr,CA1,pyramidal,13,240.0,57.91065614334314,44.86953149709852,-1.6876491489619176
45,CA1_pyr,CA1,pyramidal,17,320.0,23.49826990048455,38.67613830289653,-2.5885358099557667
46,CA1_pyr,CA1,pyramidal,11,200.0,13.572118813589844,59.83250189537385,-0.045763706689853745
47,CA1_pyr,CA1,pyramidal,13,240.0,52.10789916178382,43.95574221247824,0.999989196774071
48,CA1_pyr,CA1,pyramidal,17,320.0,38.26336851788664,61.61212261399113,-1.7660982205710607
49,CA1_pyr,CA1,pyramidal,20,380.0,59.415398438569525,22.69979500803168,-1.5264932045415762
50,CA1_pyr,CA1,pyramidal,15,280.0,24.330722757575156,34.5439085334736,2.0299114616657636
51,CA1_pyr,CA1,pyramidal,20,380.0,32.17359739671985,43.5260688614029,-1.4614800230710092
52,CA1_pyr,CA1,pyramidal,13,240.0,14.702499760823908,33.13828481178235,-1.110577581832536
53,CA1_pyr,CA1,pyramidal,11,200.0,69.05246267057963,24.41978900869689,-1.2536126935942606
54,CA1_pyr,CA1,pyramidal,17,320.0,70.44685097343098,39.10904132979603,0.9797269863875293
55,CA1_pyr,CA1,pyramidal,13,240.0,11.744015577110787,35.79345268077621,1.7534098996591219
56,CA1_pyr,CA1,pyramidal,20,380.0,37.907180517293156,77.75526228332693,-2.825241022307815
57,CA1_pyr,CA1,pyramidal,16,300.0,30.593793306507678,45.1262150960465,-1.7489760164820611
58,CA1_pyr,CA1,pyramidal,20,380.0,34.17397324030467,85.62335416285993,-2.4561588442394413
59,CA1_pyr,CA1,pyramidal,18,340.0,45.47559464372321,66.75478344178545,-0.9737537973759514
60,CA1_pyr,CA1,pyramidal,17,320.0,15.635924843030526,34.88251669324378,1.413618160358241
61,CA1_pyr,CA1,pyramidal,11,200.0,47.0028537404133,28.93815636546507,-2.1018228737650366
62,CA1_pyr,CA1,pyramidal,19,360.0,75.10927419071437,64.93256156317771,-0.7573996595143515
63,CA1_pyr,CA1,pyramidal,12,220.0,68.27659803852961,58.316491969561454,2.6139009915142513
64,CA1_pyr,CA1,pyramidal,11,200.0,48.57397622604811,62.73082055753507,0.2806555239047639
65,CA1_pyr,CA1,pyramidal,15,280.0,46.28107398684637,67.69406913686296,0.33101172767702813
66,CA1_pyr,CA1,pyramidal,12,220.0,48.96586382147015,86.23821143553442,1.7370585227506252
67,CA1_pyr,CA1,pyramidal,17,320.0,75.1287606428402,83.40620611283224,1.9896220925144128
68,CA1_pyr,CA1,pyramidal,20,380.0,39.43271970618456,29.457149625282852,-2.7915896380380225
69,CA1_pyr,CA1,pyramidal,20,380.0,78.03841428039428,71.50492689272333,1.0191257549316317
70,CA1_pyr,CA1,pyramidal,20,380.0,62.72910999171554,27.86667321797851,1.9047795244539918
71,CA1_pyr,CA1,pyramidal,19,360.0,81.20495762203038,36.11860246837678,-2.5641556679819137
72,CA1_pyr,CA1,pyramidal,13,240.0,18.61174016959895,79.61715432615182,-0.553400649678272
73,CA1_pyr,CA1,pyramidal,18,340.0,14.205476439716351,53.50702060062442,1.111458062817987
74,CA1_pyr,CA1,pyramidal,13,240.0,58.67182571172003,21.44180922732197,-1.2315726367735957
75,CA1_pyr,CA1,pyramidal,11,200.0,59.566829631526694,20.409507594981726,-1.9802988011360398
76,CA1_pyr,CA1,pyramidal,18,340.0,67.27005126677906,46.33645356806787,-1.3697154518074426
77,CA1_pyr,CA1,pyramidal,20,380.0,47.42755226567225,34.92157384742417,2.3542041855072187
78,CA1_pyr,CA1,pyramidal,19,360.0,74.34262835368558,59.42543245355523,0.9172201813656118
79,CA1_pyr,CA1,pyramidal,17,320.0,69.86168346874238,80.47576760539053,2.6426062792108205
80,CA1_pyr,CA1,pyramidal,20,380.0,23.110896383823096,81.70992668259187,-1.8608954486991356
81,CA1_pyr,CA1,pyramidal,11,200.0,74.42055928011729,87.28884707829778,2.16484225330331
82,CA1_pyr,CA1,pyramidal,12,220.0,40.04802945392097,89.08413857603024,1.48326453428745
83,CA1_pyr,CA1,pyramidal,13,240.0,10.890301487629008,25.61534231232872,-3.0568213622790164
84,CA1_pyr,CA1,pyramidal,11,200.0,28.917248792153902,23.681704839599576,0.5187883096527823
85,CA1_pyr,CA1,pyramidal,17,320.0,53.722567449910336,85.9833360835381,2.2865057404878177
86,CA1_pyr,CA1,pyramidal,11,200.0,83.29421152517219,41.95123521536451,0.14474625957515252
87,CA1_pyr,CA1,pyramidal,14,260.0,89.99664691824357,34.565876492154565,1.4908490510123888
88,CA1_pyr,CA1,pyramidal,16,300.0,65.11386580624867,18.320524198441063,0.23115091315029979
89,CA1_pyr,CA1,pyramidal,15,280.0,55.051474762779506,25.74352907328011,-2.811266013809029
90,CA1_pyr,CA1,pyramidal,16,300.0,69.64932210881234,11.985086015909605,-2.8359897537868104
91,CA1_pyr,CA1,pyramidal,19,360.0,80.54937139883197,45.09987032977436,0.7810424083076146
92,CA1_pyr,CA1,pyramidal,19,360.0,31.80505429423043,47.99819306080319,-1.7651573926911703
93,CA1_pyr,CA1,pyramidal,19,360.0,21.870544672092258,83.91799475310873,0.929604011106484
94,CA1_pyr,CA1,pyramidal,18,340.0,25.448587783200445,76.3322180874968,-0.8017153356583617
95,CA1_pyr,CA1,pyramidal,16,300.0,11.865445609854088,64.01734810282893,0.4419051424514704
